026-01-25 20:42:46,649 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:48:55,389 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:48:55,391 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:48:55,411 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:48:55,411 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-25 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:48:55,717 - data.fetch_futures_oi - WARNING - No historical futures OI data found for NSE:M&M26JANFUT
2026-01-25 20:48:55,718 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:48:55,725 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:48:55,725 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:48:55,725 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:48:55,728 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:48:55,728 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-25 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:48:56,033 - data.fetch_futures_oi - WARNING - No historical futures OI data found for NSE:M&M26JANFUT
2026-01-25 20:48:56,033 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:50:27,236 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:50:27,237 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:50:27,237 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:50:27,239 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:50:27,239 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-25 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:50:27,566 - data.fetch_futures_oi - WARNING - No historical futures OI data found for NSE:M&M26JANFUT
2026-01-25 20:50:27,566 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:50:27,579 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:50:27,579 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:50:27,580 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:50:27,581 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:50:27,581 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-25 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:50:27,879 - data.fetch_futures_oi - WARNING - No historical futures OI data found for NSE:M&M26JANFUT
2026-01-25 20:50:27,879 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:51:23,091 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:51:23,092 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:51:23,093 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:51:23,093 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:51:23,095 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:51:23,095 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-03 to 2026-01-25
2026-01-25 20:51:23,095 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-25 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:51:23,096 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:51:23,427 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-25&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 96
2026-01-25 20:51:23,432 - data.fetch_futures_oi - WARNING - No historical futures OI data found for NSE:M&M26JANFUT
2026-01-25 20:51:23,432 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:51:23,439 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:51:23,440 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:51:23,440 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:51:23,440 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:51:23,442 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:51:23,442 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-03 to 2026-01-25
2026-01-25 20:51:23,442 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-25 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:51:23,443 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:51:23,739 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-25&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 96
2026-01-25 20:51:23,740 - data.fetch_futures_oi - WARNING - No historical futures OI data found for NSE:M&M26JANFUT
2026-01-25 20:51:23,740 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:52:21,935 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:52:21,936 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:52:21,937 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:52:21,937 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:52:21,939 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:52:21,939 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-03 to 2026-01-25
2026-01-25 20:52:21,939 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-03 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:52:21,940 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:52:22,242 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 400
2026-01-25 20:52:22,245 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:52:22,546 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M-EQ&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1 HTTP/1.1" 200 359
2026-01-25 20:52:22,559 - data.fetch_futures_oi - DEBUG - Returning 14 historical OI records
2026-01-25 20:52:22,559 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:52:53,512 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:52:53,513 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:52:53,513 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:52:53,514 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:52:53,515 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:52:53,515 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-03 to 2026-01-25
2026-01-25 20:52:53,515 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-03 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:52:53,516 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:52:53,807 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 400
2026-01-25 20:52:53,814 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
