time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle
1767002400,293.95,297.4,297.6,293.15,293.65,-0.3,31687400,33214900,0,0,0,0.0
1767088800,292.5,290,294,290,292.25,-0.25,7183950,35017350,0,0,-77.33,-77.33
1767175200,294.95,295,298.9,294.75,296.9,1.95,151422250,11867500,0,0,2007.79,2007.79
1767261600,295.7,297.5,298,295.65,297.7,2.0,151887550,5503700,0,0,0.31,0.31
1767348000,301.7,298,305.1,297.5,303.6,1.9,152381050,22938350,0,0,0.32,0.32
1767607200,300.4,303.65,304,300,301.5,1.1,151316500,14746250,0,0,-0.7,-0.7
1767693600,298.55,301.7,303.55,294.25,299.2,0.65,149199150,21330950,0,0,-1.4,-1.4
1767780000,303.5,298.8,307.55,297.5,305.1,1.6,152129600,37200500,0,0,1.96,1.96
1767866400,293.55,305.1,305.45,292.8,294,0.45,151591450,28188250,0,0,-0.35,-0.35
1767952800,287.25,291.25,295.6,286.3,287.75,0.5,151220150,23702100,0,0,-0.24,-0.24
1768212000,288.25,288.9,289.85,281.25,289.2,0.95,151650200,20933800,0,0,0.28,0.28
1768298400,284.6,289.9,290.7,282.9,285.65,1.05,151177850,17796550,0,0,-0.31,-0.31
1768384800,287,283.6,288.8,283.3,287.95,0.95,149850100,13131800,0,0,-0.88,-0.88
1768557600,278.8,288,291.5,277.6,278.85,0.05,146346250,35912700,0,0,-2.34,-2.34
1768816800,275.65,278.85,281.5,274.3,275.8,0.15,140137550,22238050,0,0,-4.24,-4.24
1768903200,265.5,274.1,276.45,263.15,265.25,-0.25,125866000,30848450,0,0,-10.18,-10.18
1768989600,263.25,265.4,269.2,262.45,263.7,0.45,108617000,34763550,0,0,-13.7,-13.7
1769076000,262.6,267.4,268,259.7,263.35,0.75,76078900,48384150,0,0,-29.96,-29.96
1769162400,252.9,264.75,266,252,252.75,-0.15,45597050,49615550,0,0,-40.07,-40.07
