CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKADANIENT30-MAR-2026,1998.9000000,1996.0000000,2007.4000000,1940.3000000,1958.4000000,1958.4000000,-2.0200000,49283.0000000,1805178.0000000,5842.0000000,3553278756.0000000
FUTSTKADANIENT28-APR-2026,2002.8000000,1990.1000000,2009.6000000,1946.0000000,1963.8000000,1963.8000000,-1.9400000,7344.0000000,193743.0000000,627.0000000,381956352.3000000
FUTSTKADANIENT26-MAY-2026,2011.0000000,2010.4000000,2010.4000000,1956.6000000,1971.0000000,1971.0000000,-1.9800000,3481.0000000,63345.0000000,205.0000000,124977800.1000000
FUTSTKASHOKLEY28-APR-2026,178.3300000,175.9700000,175.9700000,169.2700000,170.3800000,170.3800000,-4.4500000,2387.0000000,4295000.0000000,859.0000000,737891250.0000000
FUTSTKASHOKLEY30-MAR-2026,179.0200000,176.2000000,176.6000000,170.0300000,171.2500000,171.2500000,-4.3400000,29499.0000000,38575000.0000000,7715.0000000,6633605200.0000000
FUTSTKASHOKLEY26-MAY-2026,178.2400000,175.0100000,175.1500000,169.2100000,170.1800000,170.1800000,-4.5200000,290.0000000,650000.0000000,130.0000000,111731450.0000000
FUTSTKBANDHANBNK30-MAR-2026,178.4700000,176.2000000,178.5600000,173.7400000,175.5700000,175.5700000,-1.6200000,25909.0000000,20851200.0000000,5792.0000000,3666960396.0000000
FUTSTKBANDHANBNK28-APR-2026,179.6300000,177.1000000,179.4100000,174.7500000,176.8300000,176.8300000,-1.5500000,918.0000000,1224000.0000000,340.0000000,216465840.0000000
FUTSTKBANDHANBNK26-MAY-2026,180.3200000,176.5000000,180.6400000,176.0000000,178.0900000,178.0900000,-1.2300000,206.0000000,259200.0000000,72.0000000,46090512.0000000
FUTSTKBANKBARODA30-MAR-2026,290.2000000,287.8500000,288.2500000,280.0000000,281.5500000,281.5500000,-2.9800000,29743.0000000,15174900.0000000,5188.0000000,4303440180.0000000
FUTSTKBANKBARODA26-MAY-2026,293.7000000,291.0000000,291.2500000,284.1000000,284.9500000,284.9500000,-2.9700000,2389.0000000,175500.0000000,60.0000000,50511240.0000000
FUTSTKBANKBARODA28-APR-2026,292.2500000,290.5000000,290.5000000,282.0000000,283.4500000,283.4500000,-3.0100000,3706.0000000,2190825.0000000,749.0000000,624189588.7500000
FUTSTKBANKINDIA26-MAY-2026,156.5600000,153.2000000,153.2000000,152.0000000,152.0700000,152.0700000,-2.8600000,69.0000000,31200.0000000,6.0000000,4760912.0000000
FUTSTKBANKINDIA30-MAR-2026,154.9200000,155.8800000,155.8800000,150.0000000,150.4300000,150.4300000,-2.8900000,10257.0000000,11752000.0000000,2260.0000000,1785469556.0000000
FUTSTKBANKINDIA28-APR-2026,156.0500000,155.5600000,155.6100000,151.1500000,151.3500000,151.3500000,-3.0100000,487.0000000,1159600.0000000,223.0000000,177080176.0000000
FUTSTKBHARATFORG30-MAR-2026,1784.1000000,1775.7000000,1775.7000000,1668.3000000,1675.6000000,1675.6000000,-6.0800000,14226.0000000,3409500.0000000,6819.0000000,5808876350.0000000
FUTSTKBHARATFORG28-APR-2026,1791.7000000,1770.0000000,1770.0000000,1680.3000000,1684.3000000,1684.3000000,-5.9900000,340.0000000,165000.0000000,330.0000000,282702000.0000000
FUTSTKBHARATFORG26-MAY-2026,1800.0000000,1772.5000000,1772.6000000,1689.0000000,1694.4000000,1694.4000000,-5.8600000,50.0000000,14000.0000000,28.0000000,24068900.0000000
FUTSTKBPCL30-MAR-2026,327.2000000,322.9000000,326.3500000,318.3500000,320.1500000,320.1500000,-2.1500000,22988.0000000,6790050.0000000,3438.0000000,2181304550.0000000
FUTSTKBPCL26-MAY-2026,330.7000000,329.0000000,329.0000000,323.1500000,323.8000000,323.8000000,-2.0800000,54.0000000,51350.0000000,26.0000000,16710475.0000000
FUTSTKBPCL28-APR-2026,328.9500000,325.7500000,326.9500000,321.2500000,321.9000000,321.9000000,-2.1400000,627.0000000,304150.0000000,154.0000000,98350161.2500000
FUTSTKDMART26-MAY-2026,3972.0000000,3995.0000000,4051.3000000,3823.3000000,3827.8000000,3827.8000000,-3.6300000,86.0000000,7350.0000000,49.0000000,28904775.0000000
FUTSTKDMART28-APR-2026,3958.9000000,3963.9000000,4059.2000000,3821.2000000,3829.6000000,3829.6000000,-3.2600000,4605.0000000,171150.0000000,1141.0000000,674329455.0000000
